; 10
133; 1
201; 1
A; 46
ALICIA; 1
ANDRES; 1
ANVARD; 1
ARAVIS; 1
AUNQUE; 1
AVENTURA; 1
Abajo; 1
Abran; 1
Abrió; 1
Acaba; 1
Acuérdate; 1
Acá; 2
Acércate; 1
Adelante; 3
Además; 4
Adiós; 4
Afortunadamente; 2
Ah; 8
Ahora; 24
Ahoshta; 18
Ahí; 6
Al; 31
Algo; 3
Alguien; 2
Algunos; 1
Alimash; 2
Allá; 3
Allí; 8
Alrededor; 1
Alteza; 23
Alégrense; 1
Ambas; 2
Ambos; 3
Amigos; 1
Amárralas; 1
Ana; 1
Anda; 1
Anradin; 2
Ante; 1
Antes; 5
Antiguo; 2
Antiguos; 4
Anvard; 29
Aparentemente; 3
Aparte; 2
Aparten; 1
Apenas; 5
Aprieta; 2
Apuesto; 1
Aquel; 1
Aquí; 9
Aravis; 213
Archenland; 35
Ardib; 1
Ariete; 1
Arriba; 2
Arshish; 14
Asió; 1
Aslan; 25
Así; 19
Atravesaron; 1
Atravesaré; 1
Atrás; 1
Aun; 1
Aunque; 4
Avancen; 1
Axartha; 1
Ay; 5
Ayer; 1
Azaroth; 1
Azim; 4
Azru; 3
Aún; 3
BATALLA; 1
BELLO; 1
BRI; 1
Balda; 4
Bar; 5
Basta; 1
Baños; 1
Bello; 2
Bestia; 1
Biblia; 1
Bien; 6
Borrascosa; 6
Bri; 194
Brihy-hinny-brinny-huuhy-hah; 1
Bruhuhá; 1
Bruja; 3
Buen; 1
Buena; 2
Bueno; 15
Buenos; 4
Bájame; 1
Bájenlo; 1
C; 1
CABALLO; 2
CAMINO; 1
CASA; 1
CICATRICES; 1
COMENTARIO; 1
COMO; 2
COMPAÑERO; 1
COMUNICAR; 1
CON; 2
CORIN; 1
CRONICAS; 1
Caballero; 1
Caballo; 1
Caballos; 1
Cada; 2
Caiga; 1
Cair; 14
Calavar; 2
Calormen; 32
Canciller; 1
Caramba; 2
Casa; 1
Casi; 5
Castillo; 1
Castores; 1
Catulo; 1
Cerca; 2
Chervy; 1
Cierra; 1
Ciertamente; 3
Clamash; 3
Claro; 12
Col; 2
Colin; 2
Colina; 1
Collares; 1
Columnas; 1
Come; 1
Comenzaba; 1
Comieron; 1
Como; 11
Comprendió; 1
Con; 6
Confío; 1
Conocía; 1
Conozco; 3
Conteniendo; 1
Continuó; 1
Continúa; 3
Contuvo; 1
Cor; 41
Corin; 66
Corradin; 2
Corre; 1
Correos; 1
Cosa; 2
Cr-cre-creo; 1
Creo; 11
Cristalino; 4
Crónicas; 1
Cualquier; 2
Cuando; 25
Cuatro; 1
Cuidado; 1
Cuéntame; 1
Cállate; 2
Cálmate; 1
Cómo; 1
DE; 9
DEL; 2
DENTRO; 1
DESIERTO; 1
Dama; 3
Dar; 3
Darrin; 8
De; 23
Debe; 4
Debemos; 2
Deben; 1
Debería; 1
Deberías; 1
Debes; 1
Debió; 1
Debo; 3
Debí; 1
Debía; 2
Dejaron; 2
Del; 1
Dentro; 2
Desde; 3
Deseché; 1
Deseo; 1
Desmontó; 1
Desparramados; 1
Después; 28
Detengámonos; 1
Detrás; 5
Di; 1
Dice; 1
Dicen; 1
Diez; 1
Dijo; 1
Dile; 2
Dios; 1
Dique; 1
Dirás; 1
Discúlpame; 1
Doncellas; 1
Dos; 2
Doscientos; 1
Durante; 3
Durmió; 1
Déjalo; 3
Déjame; 1
Déjate; 2
Dímelo; 1
E; 2
EDITORIAL; 1
EL; 6
EN; 5
ENCINA; 1
ENCUENTRA; 1
ERMITAÑO; 1
ES; 1
ESPALDA; 1
Edmundo; 51
Educación; 1
El; 112
Ella; 5
Ellas; 1
Ellos; 2
Embajador; 1
Emperador; 1
Empezaron; 2
En; 64
Encaminé; 1
Encontrará; 1
Enormes; 1
Ensayaremos; 1
Entiende; 1
Entonces; 25
Entra; 2
Entraron; 2
Entre; 2
Entretanto; 3
Entérate; 1
Envía; 1
Epoca; 1
Era; 28
Eran; 1
Eres; 7
Ermitaño; 28
Es; 52
