; 17
10; 1
11; 2
1988; 1
1990; 1
1992; 1
1993; 1
3; 1
4; 1
5; 1
5.000; 1
6; 1
68.843; 1
7; 3
8; 1
9; 1
946; 1
956-13-0728-5; 1
A; 61
ALICIA; 1
AMANECER; 1
ANA; 1
ANDRES; 1
AQUI; 1
ARAYA; 1
ARCE; 1
AVENTURA; 1
AVENTURAS; 1
Aaah; 1
Abajo; 1
Además; 4
Adán; 1
Agua; 1
Aguas; 5
Agujero; 1
Ahora; 21
Ahí; 1
Aire; 1
Al; 50
Alberta; 8
Alfabeta; 1
Algo; 3
Algunas; 2
Algunos; 6
Allá; 5
Allí; 11
Alrededor; 3
Alteraron; 1
Alto; 1
Amanecer; 53
Ambos; 1
Amigos; 2
Ana; 5
Anciano; 4
Anclaron; 1
Androcles; 1
Angosto; 13
Anheló; 1
Animales; 4
Ansiaba; 1
Ante; 4
Antes; 7
Aparece; 1
Aparentemente; 3
Apenas; 3
Aquella; 3
Aquellos; 2
Aquí; 11
Arboles; 1
Argoz; 6
Arquenlandia; 2
Arriba; 1
Arrodíllense; 1
Artico; 1
Arturo; 1
Aseguraron; 1
Aslan; 59
Así; 20
Aun; 3
Aunque; 5
Av; 1
Avra; 8
Ay; 3
Ayer; 2
AÑO; 1
Año; 1
Aún; 3
BELLO; 1
BORDO; 1
BUEN; 1
Bajaron; 1
Bajen; 1
Bajó; 3
Bern; 31
Beruna; 2
Biblia; 1
Bien; 8
Bienvenido; 1
Blanca; 2
Bottom; 1
Bowman; 1
Bravo; 1
Brenn; 1
Bruja; 2
Buen; 1
Buenas; 1
Bueno; 28
Buenos; 1
C; 4
C.S; 1
CASPIAN; 2
CHILE; 2
COMENTARIO; 2
COMO; 1
CONSIGO; 1
CUADRO; 1
CUARTO; 1
Ca; 1
Cada; 7
Cair; 9
Calamar; 1
Calla; 1
Calormania; 4
Calormen; 2
Cambridge; 2
Caminaron; 1
Capitán; 4
Casi; 5
Caspian; 257
Castores; 1
Cazatrufas; 1
Cerca; 2
Chile; 2
Cielo; 17
Ciertamente; 2
Cinco; 1
Claramente; 1
Clarence; 5
Claro; 7
Co; 1
Collins; 1
Comenzó; 4
Como; 17
Comparto; 1
Compañeros; 1
Comían; 1
Con; 10
Consejo; 1
Constructor; 1
Continúa; 1
Contra; 1
Convirtió; 1
Cordero; 5
Coriakin; 3
Cornelio; 1
Corrió; 2
Creo; 12
Cronicas; 1
Crónicas; 2
Cualquier; 1
Cuando; 24
Cuchillo; 2
Cuidado; 1
Cuántas; 1
Cállate; 1
Cálmate; 1
DE; 8
DEL; 8
DESCUBIERTA; 1
DESIERTAS; 1
DOS; 1
DRAGON; 1
DUHART; 1
DURANTE; 1
DURMIENTES; 1
Da; 1
Daban; 1
Dama; 1
Daría; 2
Dawn; 1
De; 50
Debe; 8
Debemos; 5
Deben; 2
Deberá; 1
Deberían; 1
Debo; 1
Debía; 1
Declaro; 1
Decía; 2
Decían; 1
Dedujeron; 1
Dejaron; 1
Dejen; 1
Del; 2
Den; 1
Dense; 1
Dentro; 1
Desata; 1
Desde; 10
Desenvaina; 1
Desiertas; 19
Desperté; 1
Después; 24
Detrás; 1
Di; 1
Dice; 1
Dicen; 1
Dices; 1
Diez; 1
Difícilmente; 1
Dije; 1
Dijo; 7
Dile; 1
Dime; 2
Dimos; 1
Dio; 3
Dios; 7
Dique; 1
Diré; 1
Dispara; 1
Disparen; 1
Distribución; 1
Divirtiéndote; 1
Donde; 2
Doorn; 9
Dos; 1
Dragón; 4
Drinian; 107
Dríada; 2
Duele; 1
Dulce; 1
Duque; 9
Durante; 7
Duró; 1
Día; 1
E; 3
EDITORIAL; 1
EL; 5
ELENA; 1
EN; 2
ENCINA; 1
ENCONTRO; 1
ESCAPADAS; 1
ESE; 1
ETC; 1
EUSTAQUIO; 1
EXPLORADOR; 1
Echenlo; 1
Ed; 1
Edmundo; 147
El; 95
Ella; 3
Ellos; 10
Emperador; 2
Empezó; 2
Empieza; 1
Empiezo; 1
En; 108
Enano; 3
Enanos; 1
Encantado; 1
Encontraron; 1
Encárgate; 1
Enemigos; 1
Enfurruñado; 1
Engañó; 1
Entiendo; 1
Entonces; 31
Entraron; 1
Entre; 1
Entretanto; 2
Era; 32
Eran; 11
Eres; 3
Es; 52
Esa; 4
Esas; 4
Escrito; 1
Escuchaste; 1
Escuchen; 1
Escúchalo; 1
Escúchenlo; 1
Escúchenlos; 1
Ese; 4
Eso; 15
Espera; 1
Esperaba; 1
Espero; 3
Espiar; 1
Esta; 11
Estaba; 14
Estaban; 5
Estados; 2
Estamos; 2
Estar; 1
Estas; 1
Este; 12
Esto; 19
Estos; 2
Estoy; 8
Estrella; 1
Está; 6
Están; 1
Estás; 2
Europa; 1
Eustaquio; 186
Exactamente; 1
Excelente; 1
Exijo; 1
Explorador; 53
Extendió; 2
FE; 1
FELICES; 1
FIN; 3
FINALIZO; 1
FUERON; 1
Faunos; 1
Featherstone; 2
Feliz; 1
Fin; 15
Finalmente; 4
Frente; 4
Fue; 7
Fuera; 1
Fui; 1
Fuiste; 1
Fácilmente; 2
Félima; 7
Galma; 6
Gaviotas; 1
Gente; 10
Gracia; 1
Gracias; 2
Gran; 3
Gritó; 1
Gruñía; 1
Guarda; 1
Gumpas; 17
HABER; 1
HABIA; 1
HABITACION; 1
HIZO; 1
Ha; 2
Hablan; 5
Habrá; 1
Habría; 1
Había; 13
Habían; 3
Hace; 4
Hacen; 1
Hacía; 1
Haga; 1
Haroldo; 5
Haré; 1
Haría; 1
Has; 1
Hasta; 4
Hay; 10
He; 4
Hemos; 1
Hice; 1
Hicieron; 2
Hicimos; 1
Hija; 2
Hijo; 2
Hizo; 2
Hmm; 1
Hombre; 1
Horquillita; 1
Hoy; 2
Hubo; 10
I; 1
II; 1
III; 2
ILUSTRACIONES; 1
IMPRESO; 1
IMPRESORES; 1
IN; 1
ISBN; 1
ISLA; 3
ISLAS; 1
IV; 1
IX; 1
Iba; 2
Imaginé; 1
Imagínense; 1
Imposible; 1
Incluso; 6
Inglaterra; 4
Inmensas; 1
Inscripción; 1
Insisto; 1
Instrumentos; 1
Isla; 10
Islas; 22
Jamás; 9
Jefe; 36
Junto; 1
Justo; 5
Júpiter; 1
Kirke; 1
Kraken; 1
L; 3
LA; 6
LARRAIN; 1
LAS; 4
LEIDO; 1
LEWIS; 1
LIBRO; 2
LO; 2
LORD; 1
LOS; 2
LUGAR; 1
La; 87
Lago; 1
Lamentamos; 1
Larraín; 1
Las; 19
Le; 7
Lentamente; 3
Leones; 1
Leopardo; 1
Les; 5
Levantó; 1
Lewis; 3
León; 13
Libro; 6
Lirios; 1
Llamaba; 1
Llegué; 1
Lleva; 1
Llevaba; 3
Llevar; 1
Llévenselo; 1
Lo; 32
Lord; 29
Los; 33
Ltd; 1
Lu; 3
Lucía; 303
Luego; 47
Luna; 1
Luz; 1
Lyon; 1
MAGO; 1
MAR; 1
MARAVILLAS; 1
MARIA; 2
MARÍA; 1
MEJOR; 1
MILAGROSAS; 1
MUERTE; 1
MUNDO; 2
Mago; 1
Majestad; 45
Majestades; 9
Mar; 16
Mares; 1
Margarita; 4
Marina; 8
Mary; 1
María; 1
Mas; 3
Mavramorn; 5
Mañana; 1
Me; 25
Melena; 2
Menos; 1
Mesa; 7
Metió; 1
Mi; 12
Mientras; 12
Milord; 2
Mira; 2
Miraban; 1
Miraron; 1
Miraz; 5
Miren; 9
Mis; 1
Monipudos; 1
Mostaza; 1
Movió; 2
Mucha; 1
Muchas; 1
Mucho; 2
Muchos; 1
Muerte; 5
Muil; 1
Mundo; 15
Muy; 7
Muéstrame; 1
Mágico; 1
Más; 11
Mírenlas; 1
Mírenle; 1
NARNIA; 1
NO; 2
NUNCA; 1
Nace; 1
Nada; 3
Nadie; 19
Nancy; 1
Narnia; 73
Navega; 1
Navegaban; 1
Navegaron; 1
Navegaré; 1
Necesario; 1
Negro; 1
Ni; 5
Ninguna; 2
Ninguno; 4
Niña; 2
Niños; 1
No; 167
Norteamérica; 3
Noruega; 1
Nos; 3
Nosotros; 6
Nuestra; 1
Nuestro; 1
Nuevo; 1
Nunca; 6
Nª; 1
O; 7
OCTESIANO; 1
OSCURA; 1
Obra; 1
Obviamente; 1
Octesiano; 9
Odiaba; 1
Odioso; 1
Ojalá; 1
Ordena; 1
Oriente; 1
Originalmente; 1
Oro; 1
Oscura; 1
Oscuridad; 2
Otra; 1
Otras; 1
Otros; 1
Oveja; 1
Oye; 3
Oyó; 1
PEREZ; 1
PERTENECER; 1
POR; 2
PRINCIPIO; 1
PRINTED; 1
Pablo; 1
Para; 8
Paravel; 9
Parece; 4
Parecen; 2
Pareciera; 2
Pareció; 1
Parecía; 5
Parecían; 1
Parpadeó; 1
Pasada; 1
Pasaron; 1
Paso; 1
Pasó; 3
Pedro; 7
Pegó; 1
Pensaba; 1
Pensaron; 1
Pensarán; 1
Pensó; 2
Peor; 1
Perdóname; 1
Permaneció; 1
Pero; 213
Pescaron; 1
Pevensie; 11
Pido; 1
Piedra; 3
Pienso; 3
Pilló; 1
Plata; 4
Pobre; 1
Pobrecito; 1
Poco; 4
Pocos; 1
Pocosueldo; 1
Podemos; 3
Podimonos; 1
Podría; 2
Podríamos; 3
Podía; 5
Podían; 1
Pomonodos; 1
Por; 53
Porque; 14
Posiblemente; 1
Pregunté; 1
Pregúntale; 1
Preocúpate; 1
Preston; 1
Presumes; 1
Primera; 1
Primero; 2
Probablemente; 2
Pronto; 8
Propongo; 1
Puede; 5
Pueden; 2
Puedes; 2
Puente; 1
Pues; 7
Pug; 18
Puso; 1
QUE; 2
Que; 5
Queen; 1
Quemada; 2
Queremos; 1
Querido; 1
Quería; 1
Quiere; 1
Quiero; 3
Quisiera; 1
Quizás; 1
Qué; 4
REINADO; 1
REY; 1
ROSA; 1
Ración; 1
Ramandú; 20
Ratón; 23
Realmente; 3
Reconoció; 1
Regente; 1
Remen; 1
Representaba; 1
Respecto; 1
Respetables; 1
Restimar; 3
Revilian; 5
Rey; 28
Ricardo; 1
Rins; 20
Rip; 7
Rojo; 2
Ruego; 1
Rumbo; 1
Rup; 16
Rynelf; 14
Rápido; 2
Ríp; 1
Rípichip; 123
S; 1
SEGUN; 1
SILVA; 2
SU; 1
SUPONEMOS; 1
Sabía; 2
Sacudió; 1
Sacó; 1
Sala; 1
Salieron; 1
Salí; 1
San; 1
Santa; 1
Santiago; 1
Saquen; 1
Scrubb; 2
Se; 71
Sea; 1
Seguimos; 1
Seguir; 1
Segunda; 1
Segundo; 1
Seguramente; 5
Según; 3
Seres; 1
Serpiente; 8
Será; 1
Sería; 6
Señor; 24
Señora; 6
Señores; 1
Señoría; 7
Si; 32
Siempre; 10
Siete; 3
Sigamos; 2
Sigan; 1
Significa; 1
Sigue; 3
Silenciosamente; 1
Simplemente; 2
Simples; 1
Sin; 8
Sirvió; 1
Sobrevoló; 1
Sol; 2
Solo; 2
Somos; 5
Son; 7
Sonaba; 1
Sondeaban; 1
Sons; 1
Soy; 5
Su; 16
Suban; 1
Sube; 1
Subieron; 1
Subió; 1
Suficiencia; 7
Supe; 1
Suplico; 1
Supo; 1
Supongo; 3
Surgió; 1
Sus; 14
Susana; 11
Sé; 1
Sí; 23
Sócrates; 1
Sólo; 13
Súbanme; 1
TORMENTA; 1
TRAJO; 1
TRES; 1
Tachuelas; 3
Tal; 20
Tam; 1
También; 4
Tampoco; 2
Tan; 3
Tanto; 1
Te; 10
Tecla; 1
Telmaria; 1
Telmarinos; 1
Temo; 1
Ten; 2
Tendremos; 2
Tendrás; 2
Tendría; 1
Tendríamos; 1
Tenemos; 4
Tengan; 1
Tenía; 2
Tenían; 1
Tercera; 1
Terebintia; 4
Terriblemente; 1
The; 1
Tiene; 1
Tienen; 1
Tienes; 3
Tierra; 1
Toda; 3
Todas; 2
Todavía; 4
Todo; 24
Todos; 24
Tomaremos; 1
Tomás; 1
Tomó; 1
Tonto; 1
Traducción; 1
Tras; 3
Trataban; 1
Trataron; 1
Traté; 1
Trató; 1
Travesia; 1
Treader; 1
Tres; 1
Trescientos; 1
Trumpkin; 6
Tu; 3
Tuve; 1
Tuvimos; 2
Tuvo; 1
Tú; 8
ULTIMO; 1
UN; 1
Ulises; 1
Ultimo; 1
Un; 24
Una; 13
Unidos; 2
Uno; 1
Usemos; 1
Usted; 1
Ustedes; 8
V; 1
VERDADERO; 1
VI; 1
VII; 1
VIII; 1
VOCES; 1
Va; 1
Vamos; 2
Varios; 1
Vaya; 2
Vayan; 1
Veamos; 2
Veintiuno; 1
Ven; 1
Venderlos; 1
Vengan; 2
Ver; 1
Verás; 1
Viajeros; 1
Vieron; 1
Viva; 1
Voces; 4
Volvamos; 2
Voy; 1
Voz; 15
Vuelvan; 1
Vámonos; 1
Wight; 1
William; 1
X; 2
XI; 1
XII; 1
XIII; 1
XIV; 1
XV; 1
XVI; 1
Y; 205
Ya; 18
Yo; 48
ZONZOPODOS; 1
Zonzos; 10
Zonzópodos; 3
a; 1258
abajo; 33
abalanzaron; 1
abalanzó; 3
abandona; 1
abandonado; 3
abandonamos; 1
abandonar; 3
abandonarlo; 1
abandonaron; 3
abandonarse; 1
abandonaría; 1
abandonó; 1
abastecido; 1
abastecimos; 1
abdicando; 1
abedul; 1
abejas; 3
abierta; 11
abiertamente; 1
abiertas; 2
abierto; 5
abiertos; 4
abominable; 1
abordado; 1
abordarlo; 1
