; 10
10.000; 1
1955; 1
1989; 1
1993; 1
6; 1
74.096; 1
946; 1
956-13-0830-3; 1
A; 39
A...acaba; 1
AL; 1
ALICIA; 1
ANDRES; 3
APRIETOS; 1
ARBOL; 1
ASUNTOS; 1
AVENTURA; 1
Abrió; 1
Absolutamente; 1
Acabo; 1
Acérquense; 2
Adolorido; 1
Adán; 12
Afortunadamente; 1
Agilmente; 1
Ah; 2
Ahora; 23
Ahí; 5
Al; 28
Aleteaban; 1
Alfabeta; 1
Algo; 3
Alguna; 1
Algunos; 2
Allí; 6
Alpes; 2
Ama; 1
Amamos; 1
Ambos; 6
Amo; 1
América; 1
Anda; 2
Andrés; 162
Anillo; 29
Anillos; 42
Ansiaba; 1
Ante; 1
Antes; 4
Aparecieron; 1
Aparentemente; 3
Apenas; 1
Apuesto; 2
Apártate; 1
Apúrate; 1
Aquella; 1
Aquí; 5
Arbol; 16
Arboles; 1
Archenland; 4
Ardillas; 1
Armonizaban; 1
Arranca; 1
Arrancó; 1
Arriba; 2
Arrodíllate; 1
Arroja; 1
Aslan; 92
Así; 13
Atlántida; 4
Atrás; 1
Aunque; 1
Av; 1
Avanzó; 1
Ay; 1
Azotaba; 1
Añadirían; 1
Años; 1
Aún; 1
B; 1
BATALLA; 1
BELLO; 1
BOSQUE; 1
Bajo; 2
Baker; 1
Basta; 2
Bastable; 1
Bastante; 1
Batallas; 1
Bestias; 8
Bien; 5
Blandía; 1
Book; 1
Bosque; 8
Bostezó; 1
Bow-window; 1
Bramandin; 1
Bravo; 1
Bretaña; 1
Bruja; 68
Buckingham; 1
Bueno; 39
Burro; 3
Busca; 1
Bájenla; 1
Búho; 1
C; 2
CAMPANA; 1
CHILE; 2
CHISTE; 1
COMIENZO; 1
CREACION; 1
CRONICAS; 1
Caballería; 1
Caballo; 9
Cada; 1
Cambia; 1
Cambio; 3
Caminó; 1
Canción; 1
Cantaba; 1
Cantor; 1
Casa; 1
Casi; 4
Castor; 1
Catedral; 1
Cayeron; 1
Cerca; 2
Charn; 20
Chile; 2
Chiste; 4
Chronicles; 1
Chuchunco; 1
Cielo; 2
Claro; 9
Cochero; 52
Cockney; 1
Coge; 1
Colegio; 1
Colócate; 1
Colón; 2
Comenzó; 1
Como; 16
Comprendan; 1
Comprende; 1
Con; 6
Conejo; 1
Conozco; 2
Consejo; 1
Constantemente; 1
Consígueme; 1
Cornamentas; 1
Corneja; 8
Cosa; 1
Cosas; 1
Coñac; 2
Crecía; 1
Creo; 13
Creyeron; 1
Creí; 1
Creía; 2
Criaturas; 1
Cruzaron; 1
Cruzó; 1
Cualquier; 1
Cualquiera; 3
Cuando; 29
Cuanto; 2
Cuerpo; 1
Cuervos; 2
Cumpla; 1
Curioso; 1
Cuéntales; 1
Cómela; 1
D; 1
DE; 9
DEL; 3
DEMAS; 1
DEPLORABLE; 1
DESVENTURAS; 1
DIGORY; 2
DUHART; 1
Dame; 1
De; 34
Debajo; 1
Debe; 3
Debemos; 2
Deben; 2
Deberás; 1
Deberías; 1
Debes; 1
Debo; 2
Debí; 2
Debía; 2
Decidieron; 1
Decía; 1
Deja; 2
Dejaron; 1
Dejarías; 1
Del; 2
Demuéstrenme; 1
Dentro; 2
Dependería; 1
Deplorable; 4
Derramé; 1
Desaparecieron; 1
Desde; 3
Despertó; 1
Despierta; 1
Después; 18
Detente; 1
Detrás; 1
Digo; 1
Digs; 1
Dio; 1
Dios; 3
Distinguida; 1
Distribución; 1
Dogo; 8
Dondequiera; 1
Dorado; 1
Dorsetshire; 2
Dos; 3
Duerme; 2
Durante; 7
Déjame; 1
Déjese; 1
Dígory; 355
E; 2
EDITORIAL; 1
EL; 8
EN; 3
ENCINA; 1
ENCUENTRO; 1
ENTRADA; 1
ENTRE; 1
EQUIVOCAN; 1
ESTA; 2
ESTAN; 1
Edad; 1
Eduardo; 1
Eh; 1
El; 108
Elefanta; 8
Elefante; 5
Elena; 5
Ella; 18
Ellos; 1
Elmal; 5
Emperadora; 1
Emperatriz; 2
Empezó; 1
En; 54
Enanos; 1
Encantado; 1
Ensayé; 1
Entiendo; 1
Entonces; 27
Entra; 2
Entre; 1
Entretanto; 3
Entró; 1
Era; 32
Eran; 7
Eres; 4
Es; 41
Esa; 8
Escoge; 1
Escucha; 1
Escuchamos; 1
Escudo; 1
Escúchame; 1
Ese; 5
Eso; 14
Esperaba; 1
Espero; 6
Esta; 8
Estaba; 15
Estaban; 7
Estado; 2
Estamos; 3
Estaría; 2
Estaríamos; 1
Estas; 1
Este; 9
Estiró; 1
Esto; 9
Estoy; 11
Estupendo; 1
Está; 11
Estás; 1
Eton; 2
Europa; 1
Eva; 4
Examinó; 1
FAROL; 1
FIN; 2
FRESON; 1
Farol; 1
Felicítame; 1
Felinda; 1
Finalmente; 5
Francisco; 3
Fresón; 28
Fue; 19
Fueron; 1
Galopaba; 1
Gracias; 3
Gran; 1
Guíame; 1
H'm; 1
HISTORIA; 1
Ha; 3
Habla; 2
Hablaba; 1
Hablamos; 1
Hablan; 3
Hablas; 1
Habló; 1
Habría; 4
Había; 17
Habían; 3
Hace; 3
Hacia; 1
Hacía; 2
Haré; 1
Haría; 1
Has; 3
Hasta; 2
Hay; 7
Haz; 2
Hazme; 1
He; 6
Hechicero; 1
Hicieron; 1
Hija; 2
Hijita; 1
Hijito; 1
Hijo; 9
Hijos; 1
Hizo; 4
Hockney; 1
Hola; 2
Holmes; 1
Hubo; 6
Huélelo; 1
Háganme; 1
I; 2
I...i...iré; 1
II; 1
III; 1
ILUSTRACIONES; 1
IMPRESO; 1
IMPRESORES; 1
IN; 1
INESPERADO; 1
IV; 1
IX; 1
Iba; 5
Iban; 1
Igual; 2
Imponentes; 1
Imágenes; 1
Inclinó; 1
Incluso; 3
India; 3
Indias; 10
Inglaterra; 6
Inmenso; 1
Inscripción; 1
Intentó; 1
Iré; 2
Isla; 1
Islas; 1
JUNTO; 1
Jabalí; 5
Jadis; 26
Jamás; 4
Jesús; 2
Junto; 1
Justo; 2
Juventud; 6
Júpiter; 1
Ketterley; 13
Kirke; 6
LA; 6
LAS; 3
LEWIS; 2
LIBRO; 1
LO; 1
LOS; 1
La; 64
Lanzó; 1
Las; 22
Le; 8
Lefay; 2
Leopardos; 1
Les; 6
Leticia; 1
Letty; 33
Levántense; 1
Lewisham; 1
León; 61
Llamaré; 1
Llamen; 1
Llegaría; 1
Llevaban; 1
Llevamos; 1
Lluvias; 1
Llévenlo; 1
Llévenme; 1
Lo; 27
Londres; 18
Los; 36
Ltd; 1
Luché; 1
Luego; 25
Lugar; 6
Lyon; 1
MAGO; 1
MARIA; 1
MARTILLO; 1
MUNDOS; 1
Mabel; 2
Magia; 1
Magia-murmuró; 1
Magician's; 1
Mago; 3
Manzana; 8
Marca; 1
Mas; 8
Mañana; 1
Me; 23
Metieron; 1
Mi; 8
Mientes; 1
Mientras; 5
Mira; 12
Mirando; 1
Miraron; 1
Mire; 2
Miren; 3
Miró; 1
Mis; 2
Montañas; 1
Mostrando; 1
Muchacho; 5
Muchas; 1
Mucho; 1
Muchos; 3
Muchísimo; 1
Mudas; 1
Mundo; 5
Mundos; 7
Muy; 10
Más; 2
N; 1
NARNIA; 2
Nada; 8
Nadie; 4
Nariz; 1
Narnia; 43
Necesitaba; 1
Necesitaría; 1
Nellie; 2
Ni; 4
Ninguna; 2
Ninguno; 2
Niña; 1
No; 171
Norfolk; 3
Nos; 5
Nosotros; 1
Notable; 1
Nuestro; 1
Nuevamente; 1
Numerosos; 2
Nunca; 9
O; 4
O-o-o-oh; 1
O...o...oh; 1
OTROS; 1
Oeste; 2
Oh; 2
Oiga; 3
Ojalá; 1
Oler; 1
Olvidé; 1
Olvidó; 1
Olvídate; 1
Oso; 4
Osos; 1
Otra; 1
Otro; 8
Otros; 2
Oye; 2
Oyeron; 1
Oyó; 1
PALABRA; 1
PLANTANDO; 1
POSTE; 1
PRIMER; 1
PRINCIPIO; 1
PRINTED; 1
PUERTA; 2
Pablo; 1
Palabra; 5
Palacio; 1
Pantera; 1
Para; 4
Parece; 3
Parecía; 6
Parlamento; 1
Partió; 1
Pase; 1
Pasó; 1
Patio; 1
Patrañas; 1
Pegado; 1
Pensamos; 1
Pensaron; 1
Pensándolo; 1
Pensé; 1
Pensó; 1
Permiso; 1
Pero; 175
Perrito; 1
Perro; 3
Pertenecía; 1
Pesados; 1
Piedra; 1
Piedras; 1
Piensa; 4
Plummer; 2
Podemos; 1
Podremos; 1
Podría; 2
Podríamos; 1
Podías; 3
Policía; 1
Polly; 204
Polvo; 1
Pon; 1
Ponte; 1
Por; 39
Porque; 15
Posiblemente; 1
Prefiero; 1
Prepara; 2
Preparen; 1
Presa; 1
Primera; 2
Primero; 1
Profesor; 1
Pronto; 8
Prácticamente; 1
Préstame; 1
Pte; 1
Puede; 1
Pueden; 1
Puedes; 1
Puedo; 2
Pues; 9
Puse; 1
Páramo; 1
Párate; 1
QUE; 1
Que; 3
Quedaba; 1
Quedémonos; 1
Queremos; 2
Querido; 1
Querrá; 1
Quería; 3
Querían; 1
Quiere; 2
Quieres; 1
Quiero; 5
Quince; 1
Quisiera; 2
Quizás; 6
Qué; 2
Quédate; 1
ROSA; 1
Realmente; 1
Recuerda; 2
Regresa; 1
Reina; 51
Reinas; 1
Resplandecían; 1
Respóndeme; 1
Retrocedió; 1
Rey; 16
Reyes; 3
Ricardo; 1
Road; 1
Robarás; 1
Roble; 1
Rápido; 2
Rápidos; 1
Rían; 1
Río; 1
S; 3
SE; 1
SILVA; 2
SOBRINO; 1
SU; 2
SUCEDIO; 1
Sabemos; 1
Sabes; 2
Sabía; 1
Sacó; 2
Sala; 1
Saliendo; 1
Salieron; 2
Salió; 1
Saltémonos; 1
Salve; 1
San; 1
Santa; 1
Santiago; 1
Saquémonos; 1
Sara; 1
Se; 57
Seamos; 1
Sean; 1
Sed; 3
Segundo; 1
Sentiría; 1
Sentías; 1
Será; 2
Serás; 1
Señor; 1
Señora; 1
Señorita; 1
Sherlock; 1
Si; 41
Siempre; 8
Siento; 1
Siguió; 1
Sigámosle; 1
Simplemente; 1
Sin; 8
Sintió; 1
Somos; 1
Son; 1
Sorlois; 1
Soy; 1
Su; 10
Sube; 1
Subió; 1
Subían; 1
Suceda; 1
Suelta; 1
Suena; 1
Sujétame; 1
Sujétate; 1
Sujétense; 1
Supongo; 3
Suponte; 1
Sur; 1
Surgió; 1
Surten; 1
Sus; 11
Suéltale; 1
Suéltame; 1
Sé; 3
Sí; 29
Sólo; 12
Súbete; 1
TIO; 3
TODAS; 1
Tal; 3
También; 3
Tampoco; 4
Tan; 1
Tanto; 1
Tapir; 1
Te; 21
Tecla; 1
Tejón; 2
Ten; 1
Tendría; 1
Tenemos; 5
Tengo; 6
Tenía; 11
Teníamos; 1
Tenían; 2
Tercer; 3
Terror; 1
Tesoro; 1
The; 2
Tiene; 4
Tienes; 2
Tierra; 5
Tierras; 1
Tocaba; 1
Toda; 3
Todas; 3
Todavía; 1
Todo; 12
Todos; 7
Toma; 2
Tomfle; 1
Tomó; 2
Topo; 1
Topos; 1
Torció; 1
Trabajo; 1
Traducción; 1
Trae; 1
Traigan; 2
Traje; 1
Tranquilo; 2
Trataba; 1
Trataré; 1
Trataría; 2
Trocadero; 1
Trátenlas; 1
Tu; 6
Tuvimos; 1
Tío; 1
Título; 1
Tú; 12
UN; 1
Un; 17
Una; 23
Uno; 11
Unos; 2
Usa; 1
Usando; 1
Usted; 6
Ustedes; 1
