; 33
1; 1
10; 1
11; 1
12; 1
13; 1
14; 1
15; 1
16; 1
17; 1
18; 1
19; 1
1Broma; 1
2; 1
20; 1
2007; 1
21; 1
27; 1
3; 1
31; 1
4; 1
5; 1
6; 1
7; 1
8; 1
9; 1
A; 122
A.T.A; 1
ACADEMIA; 1
ALLANAMIENTO; 1
Abajo; 2
Abrazó; 1
Abre; 3
Abrid; 1
Abrir; 2
Abriría; 1
Abrió; 9
Absolutamente; 1
Acabamos; 1
Acaban; 1
Acabaremos; 1
Acabarás; 1
Acabo; 2
Accedo; 1
Acculumos; 1
Acechando; 1
Aceite; 1
Acepta; 1
Actualidad; 1
Actuó; 1
Acuerdo; 1
Acumulación; 3
Acérquense; 1
Adelante; 5
Además; 42
Adentro; 1
Adivinación; 9
Administración; 4
Admiraba; 1
Admito; 3
Admitía; 1
Aferrando; 1
Aferró; 1
Afirmamos; 1
Afirmaremos; 1
Afirmativo; 1
Afortunadamente; 11
Agachándose; 1
Agarró; 2
Agitó; 1
Agárrala; 1
Agóbieme; 1
Ah; 23
Ah-hh; 1
Ahh; 2
Ahhh; 3
Ahora; 55
Ahí; 11
Ajedrez; 1
Al; 68
Albus; 41
Albusblabbus; 3
Alcanzaron; 2
Alcanzó; 1
Alcé; 1
Aleron; 28
Alerons; 3
Algo; 15
Alguien; 14
Alguna; 2
Algunas; 1
Algunos; 10
Algún; 2
Aliens; 1
Alineación; 1
Allá; 4
Allí; 14
Alma; 31
Almorzó; 1
Alocadamente; 1
Alohomora; 4
Alrededor; 1
Alteramus; 2
Alto; 4
Alzó; 14
Amadeus; 2
Ambas; 2
Ambos; 16
Ambrosius; 12
Americano; 3
Americanos; 1
Amigo; 1
Amigos; 3
Amo; 5
Amoroso; 1
América; 5
Andrew; 1
Andromeda; 1
Andrómeda; 3
Anfiteatro; 5
Anglia; 6
Animagos; 1
Anoche; 2
Ansío; 3
Ante; 6
Antes; 14
Antiguas; 2
Antonin; 1
Aparato; 3
Aparece; 1
Aparecer; 1
Aparecerse; 3
Aparecerse...nunca; 1
Aparecerte; 1
Aparecería; 1
Apareces; 1
Apareciera; 1
Aparecieron; 1
Apareció; 4
Aparentemente; 5
Aparición; 14
Aparte; 2
Apenas; 9
Aplaudía; 1
Aplicada; 2
Apostaría; 1
Apoyarse; 1
Apreciado; 1
Apreciamos; 1
Aprecio; 3
Aprende; 2
Aprendemos; 1
Aprendiste; 1
Aprendí; 1
Apretó; 5
Aprisa; 1
Apuesto; 4
Apuntó; 2
Aquella; 1
Aquellos; 5
Aquí; 18
Aragog; 2
Arch; 1
Argumentaremos; 1
Argus; 2
Argyle; 1
Aritmancia; 4
Armaggeddon; 1
Armónicas; 1
Armónico; 1
Arrancó; 1
Arreglárselas; 1
Arresto; 1
Arriba; 3
Arriesgó; 1
Arrojó; 1
Arte; 1
Artemisae; 1
Artes; 12
Asamblea; 1
Asia; 1
Asintió; 8
Asistí; 1
Asió; 1
Asomaba; 1
Asombrosamente; 1
Asombroso; 1
Asomó; 1
Astrología; 1
Asumamos; 1
Asumiré; 1
Asumiría; 1
Asumió; 1
Asumo; 4
Así; 57
Atada; 3
Ataque; 1
Aterrizó; 3
Atisbó; 2
Atlantis; 1
Atlántico; 1
Atravesó; 2
Atronadores; 1
Augers; 5
Aullando; 1
Aullidos; 1
Aunque; 31
Auroras; 1
Aurores; 19
Austra-como-se-llame; 1
Austramaddux; 43
Autobús; 5
Avanzada; 3
Avanzadas; 1
Avanzados; 1
Avanzó; 2
Averiguamos; 1
Averigüémoslo; 1
Ayudamos; 1
Ayudará; 1
Ayúdame; 1
Ayúdenos; 1
Azkaban; 2
Año; 1
Aún; 52
B; 14
BEAUXBATONS; 1
BLATTWOTT'S; 2
Bajaba; 1
Bajo; 7
Bajó; 7
Baptiste; 1
Barras; 1
Barría; 1
Barón; 1
Basado; 1
Basilisco; 1
Bastante; 6
Basándose; 1
Batalla; 10
Beauxbatons; 1
Beetlebrick; 2
Belfast; 1
Bell; 3
Ben; 5
Benjamin; 9
Benjamins; 1
Bermellón; 22
Bestias; 1
Bien; 21
Bienvenido; 1
Bienvenidos; 9
Biggles; 16
Bigotes; 1
Bill; 5
Bingo; 1
Binns; 8
Birch; 4
Bistle; 8
Bla; 1
Black; 6
Blattwott's; 1
Bletchley; 1
Bloomyn; 1
Bollox; 1
Bond; 2
Bonito; 1
Boondocks; 1
Borgoña; 1
Bosque; 13
Bourgenoigne; 1
Boxeador; 2
Brenda; 8
Breve; 1
Brillaba; 1
Brillaron; 1
Británica; 3
Brotó; 1
Bruce; 1
Brujas; 1
Bruscamente; 1
Bubotuber; 1
Bueeeno; 1
Buen; 6
Buena; 3
Buenas; 4
Bueno; 104
Bueno-gritó; 1
Buenos; 4
Burdo; 1
Burton; 2
Buscamos; 2
Buscando; 1
Buscó; 1
Busqué; 1
Básica; 3
Básicamente; 4
Básicos; 1
C; 1
C.S; 1
CALLEJÓN; 2
CASAS; 1
CEDRIC; 1
COHETES; 1
CON; 1
CONCEDIDA; 1
CONJUNTAMENTE; 1
COOPERACIÓN; 1
COPA; 1
Cabe; 5
Cabeza; 2
Cabriel; 2
Cada; 14
Cadogan; 4
Caja; 1
Calavera; 1
Caldero; 3
Calla; 2
Callejón; 2
Cambios; 1
Caminaron; 1
Caminó; 1
Campeonato; 4
Campus; 1
Canadá; 1
Canuto; 2
Capa; 38
Capitana; 1
Captaba; 1
Capturada; 1
Captó; 1
Capítulo; 21
Cara; 7
Caray; 1
Cariño; 1
Carne; 2
Carson; 3
Casa; 36
Casas; 17
Casi; 28
Castillo; 1
Causó; 1
Cautelosamente; 1
Cayeron; 1
Cayó; 2
Caza; 1
Cazador; 1
Cdeo; 1
Cedric; 60
Cenamos; 1
Censura; 1
Central; 1
Cerca; 2
Ceremonia; 1
Cerrada; 1
Cerró; 4
Chad; 2
Charlie; 5
Chasqueó; 2
Chico; 2
Chicos; 2
China; 1
Chocolate; 1
