; 13
08008; 1
1; 8
10; 1
11; 3
12; 1
13; 1
14; 1
142; 1
1473; 1
14ª; 1
15; 1
16; 1
1637; 1
17; 2
1709; 1
1945; 2
1997; 1
1999; 2
1ª; 1
2; 2
2.000; 14
2.000»; 1
2000; 2
215; 1
237; 1
260; 1
3; 1
31; 2
382; 1
4; 10
4; 1
5; 1
6; 1
7; 2
8; 1
84-7888-445-9; 1
9; 1
93; 1
99; 1
A; 39
ABRAS; 1
ALGÚN; 1
ALOS; 1
AQUÍ; 1
ASALTO; 1
Abajo; 3
Abrieron; 1
Abrió; 6
Abría; 1
Acababa; 3
Acababan; 2
Acabo; 1
Acepto; 1
Acercó; 1
Adalbert; 1
Además; 3
Adrian; 2
Agitar; 1
Agitó; 4
Agripa; 3
Ah; 5
Ahora; 15
Ajá; 1
Al; 39
Alacena; 1
Alargó; 1
Albus; 11
Alcanzó; 1
Algie; 3
Algo; 11
Alguien; 6
Algunas; 4
Algunos; 6
Alicia; 2
Allá; 1
Allí; 8
Alohomora; 1
Alta; 6
Ambos; 3
Andaba; 1
Anduvieron; 3
Anduvo; 2
Andén; 1
Angelina; 4
Animados; 1
Animales; 1
Anne; 1
Ante; 3
Antes; 6
Apagador; 3
Apareció; 1
Apartó; 1
Apenas; 1
Aprenderás; 1
Apuntando; 1
Aquel; 3
Aquella; 9
Aquello; 12
Aquellos; 1
Aquél; 1
Aquélla; 1
Aquí; 4
Argus; 1
Arrojó; 1
Arsenius; 1
Artes; 7
Asintieron; 1
Astronomía; 3
Asuntos; 1
Así; 14
Atada; 1
Aterrado; 1
Aterrizaron; 1
Aterrizó; 2
Aterrorizado; 1
Atrajo; 1
Atrás; 1
Aumentó; 2
Aun; 1
Aunque; 6
Automáticos; 1
Avanzaron; 1
Ayer; 1
AÑO; 1
B-36.730-2000; 1
BRUJA; 1
BUM; 3
Bagshot; 1
Bajaron; 2
Bajo; 1
Bajó; 1
Bandadas; 1
Bane; 12
Bane; 3
Barcelona; 1
Baruffio; 1
Barón; 7
Bathilda; 1
Bell; 3
Bertie; 1
Besos; 1
Besó; 1
Bien; 9
Bill; 5
Binns; 3
Black; 1
Blackpool; 1
Blaise; 1
Bletchley; 1
Blotts; 1
Bones; 1
Bonita; 1
Bott; 1
Brasil; 1
Brasil.»; 1
Bretaña; 2
Bristol; 1
Brocklehurst; 1
Bros; 1
Brown; 1
Buena; 1
Buenas; 1
Bueno; 24
Bufó; 1
Bulstrode; 1
Busca; 1
Buscarte; 1
CAMA; 2
CARTA; 1
CHIFLADO; 1
COCHE; 1
COLEGIO; 2
CREER; 1
Cabaña; 1
Cabello; 2
Cabeza; 1
Cada; 15
Caldero; 10
Canturreaba; 1
Captó; 1
Casa; 1
Casi; 10
Cayó; 1
Cerca; 1
Ceremonia; 2
Cerró; 2
Charles; 5
Charlie; 14
Chiflado; 1
Chillando; 1
Chorreante; 10
Ciento; 1
Cinco; 4
Circe; 1
Claro; 2
Clase; 1
Cleansweep; 1
Cliodna; 1
Cobre; 1
Coged; 1
Cogido; 1
Cogieron; 1
Cogió; 1
Cokeworth; 1
Colegio; 1
Coles; 1
Color; 1
Come; 1
Comedor; 15
Comenzaba; 1
Comenzó; 3
Comet; 2
Comieron; 2
Como; 15
Comparada; 1
Compraron; 1
Con; 23
Conducta; 1
Condujeron; 1
Confederación; 1
Conque; 1
Conseguí; 1
Considerado; 1
Constrictor; 1
Contempló; 1
Contenía; 1
Contiene; 1
Contigua; 1
Continuó; 1
Continúan; 1
Contra; 4
Convención; 1
Copas; 1
Copyright; 3
Cornelius; 1
Correcto; 1
Corrieron; 1
Cosas; 1
Crabbe; 19
Crecer; 1
Creo; 15
Creyó; 1
Creía; 1
Creían; 1
Crianza; 1
Criar; 1
Crockford; 3
Cross; 6
Cruzó; 1
Cualquier; 2
Cualquiera; 2
Cuando; 52
Cuanto; 1
Cuarta; 1
Cuartos»; 1
Cuatro; 3
Cuchicheaban; 1
Cuesta; 1
Cumpleaños; 1
Código; 1
Cógela; 1
Cómo; 2
DE; 11
DEL; 1
DETRÁS; 1
DURSLEY; 1
Dale; 1
Dama; 8
Date; 2
De; 51
Dean; 8
Debajo; 2
Debe; 2
Debemos; 1
Deben; 1
Deberán; 1
Debió; 1
Debo; 1
Debía; 2
Debían; 1
Decapitado; 4
Decidió; 1
Decía; 2
Dedalus; 4
Defensa; 4
Dejad; 1
Dejadme; 3
Dejaron; 1
Dejó; 6
Del; 5
Delante; 2
Dellepiane; 1
Demasiado; 2
Demonios; 2
Dennis; 1
Dentro; 2
Deporte; 1
Depósito; 1
Desapareció; 2
Desde; 5
Deseaba; 1
Deseó; 1
Desgraciadamente; 1
Deslizándose; 1
