; 5793
1; 1
10; 11
10-0; 1
11; 2
12; 9
13; 2
14; 1
15; 3
1612-1697; 1
17; 1
1722-1741; 1
1741-1768; 1
1749; 1
18; 1
1875; 1
2; 9
2-90; 1
20; 6
20-0; 1
21:33; 1
23; 1
24; 4
260; 1
27; 1
28; 1
3; 15
3/4; 1
30; 2
31; 1
360; 1
38; 1
4; 8
40-10; 1
41; 1
49; 1
4°; 1
5; 11
50; 2
57; 1
5°; 4
6; 7
7; 8
9; 4
A; 109
AAAAARGH; 1
AARGH; 1
ABANDONES; 1
ACABO; 1
ACCIDENTES; 2
ACEPTABLE; 1
ACERCA; 1
ACTUAR; 1
ADELANTE; 1
ADQUIRIR; 1
ADVIERTO; 1
AFLICCIONES; 1
AGARRES; 1
AGUANTANDO; 1
AHORA; 3
AHÍ; 1
AL; 1
ALGO; 1
ALTA; 4
ALTO; 3
AMOR; 2
ANTIQUÍSIMA; 1
ANTITODOS; 1
ANTÍDOTOS; 1
APOYÁNDOOS; 1
APROBADOS; 1
AQUÍ; 8
ARTEFACTOS; 1
ARTES; 1
ASI; 1
ASÍ; 2
ATAQUES; 1
AUDIENCIA; 1
AVANZADA; 1
AY; 1
AYUDARLE; 1
AZKABAN; 1
Aarhus; 1
Abajo; 2
Abandonó; 1
Abbott; 7
Abeforth; 1
Abercrombie; 4
Abrió; 10
Absolutamente; 1
Absurdas; 1
Abundan; 1
Acaba; 1
Acababa; 4
Acababan; 1
Acaban; 1
Acabaría; 1
Acabas; 2
Acabo; 5
Acanthia; 1
Acariciando; 1
Accidental; 1
Accidentes; 1
Aceleró; 1
Aceptable; 2
Acercando; 1
Acromántula; 1
Actuaba; 1
Actualmente; 1
Acudió; 1
Adelante; 2
Además; 5
Adhesivo; 1
Adivina; 1
Adivinación; 24
Adiós; 2
Admisión; 1
Adora; 1
Adán; 3
Afortunadamente; 2
Agarrando; 1
Agarraron; 1
Agarró; 1
Agencia; 1
Agitado; 1
Agitó; 2
Agnes; 2
Agosto; 12
Agotó; 1
Agradable; 1
Agregando; 1
Agregué; 1
Agrupados; 1
Agudizaba; 1
Agudizó; 1
Ah; 37
Ahhh; 2
Ahora; 81
Ahí; 12
Al; 47
Alastor; 6
Alborotador-en-Jefe; 1
Albus; 14
Alcanzó; 1
Aldaba; 1
Alegres; 1
Aleteante; 1
Algernon; 1
Algie; 1
Algo; 22
Alguien; 10
Alguna; 4
Algunas; 6
Algunos; 15
Algún; 1
Alice; 5
Alicia; 27
Alimentando; 1
Alimente; 1
Allí; 12
Almuerzo; 1
Alohomara; 1
Alohomora; 1
Alphard; 1
Alrededor; 2
Alta; 8
Alteraban; 1
Alto; 11
Alzó; 1
Ambas; 1
Ambos; 10
Amelia; 6
Amo; 5
An; 2
Andaba; 2
Andas; 1
Andrew; 1
Andrómeda; 6
Anduvo; 2
Angelina; 87
Angelino; 1
Anglia; 2
Animago; 3
Animagos; 1
Anormal; 1
Anormales; 1
Ante; 1
Antes; 7
Anthony; 7
Anti-Desaparición; 1
Anti-Muggle; 1
Anti-Umbridge; 1
Anti-venenos; 1
Antigua; 1
Antiguas; 4
Antonin; 2
Anual; 2
Apagador; 2
Aparecedores; 1
Aparecerte; 1
Apareciste; 1
Apareció; 1
Aparentemente; 4
Apariciones; 1
Aparición; 1
Aparte; 1
Apenas; 3
Aplicación; 1
Apostaría; 1
Aprender; 1
Aprendiz; 1
Apresuradamente; 1
Apretó; 2
Aproximadamente; 1
Apuesto; 9
Apunta; 2
Aquavirius; 1
Aquella; 2
Aquellos; 2
Aquél; 1
Aquéllas; 1
Aquí; 27
Arabella; 1
Aragog; 2
Aramita; 1
Argus; 2
Aritmancia; 5
Armando; 2
Arrancó; 1
Arriba; 1
Arrugado; 1
Arrugar-De; 1
Artefactos; 2
Artes; 48
Arthur; 40
Artificiales; 1
Artium; 1
Asesinó; 1
Asintió; 3
Asiria; 1
Asistente; 3
Asiáticos; 1
Asociación; 1
Astral; 2
Astrales; 1
Astronomía; 10
Asumiendo; 2
Asustado; 1
Así; 53
Atravesando; 1
Atrio; 9
Aturdidor; 3
Aturdidores; 1
Audiencia; 2
Augustus; 2
Aun; 5
Aunque; 27
Auror; 15
Aurora; 2
Aurores; 14
Autoridad; 3
Avada; 2
Avanzaron; 2
Avery; 7
Ay; 2
Ayuda; 1
Ayúdenme; 1
Azkaban; 38
AÑO; 1
AÑOOO; 1
Añadir; 1
Aún; 12
B; 2
B-B-buenos; 1
B-Bien; 1
BANG; 5
BASTANTE; 1
BASURA; 1
BESMIRCHING; 1
BICHOS; 1
BIEN; 2
BLACK; 2
BOCA; 2
BUEN; 1
BUENO; 1
BUSCA; 1
Bagman; 2
Bagnold; 1
Bah; 1
Baile; 1
Baja; 4
Bajamos; 1
Bajando; 1
Bajemos; 1
Bajó; 4
Balbuceante; 1
Banco; 3
Bane; 10
Banges; 1
Barnabás; 2
Barnsley; 1
Barredora; 4
Barredoras; 1
Barry; 1
Barty; 1
Baruffio; 1
Barón; 2
Basilisco; 1
Bastante; 4
Bastantes; 1
Bateadores; 1
Bebe; 1
Bebedizo; 1
Bebiendo; 1
Bell; 14
Bella; 2
Bellatrix; 51
Benjuí; 1
Benjy; 1
Beso; 1
Bestias; 1
Bethnal; 3
Biblioteca; 1
Bien; 215
Bienvenidos; 3
Bill; 30
Binns; 16
Birmingham; 2
Black; 50
Bletchley; 3
Bloqueo; 1
Bludger; 19
Bludgers; 2
Boardman; 2
Bob; 1
Boca; 1
Bocaditos; 1
Bode; 14
Boggart; 11
Bole; 2
Bombas; 8
Bonaccord; 4
Bone; 1
Bones; 30
Bonito; 1
Boot; 5
Bosque; 65
Botánica; 1
Bowtruckle; 14
Bowtruckles; 4
Boxeo; 1
Bradley; 2
Bran; 1
Bravo; 2
Bretaña; 5
Brian; 1
Brillaban; 1
Brillante; 1
Brillantes; 1
Británica; 2
Broderich; 1
Broderick; 2
Bromas; 4
Brown; 6
Bruja; 2
Brujas; 2
Brujería; 4
Brujos; 2
Bruto; 1
Brújula; 1
Bu; 1
Buckbeak; 7
Buen; 6
Buena; 5
Buenas; 18
Bueno; 165
Buenos; 3
Bulbadox; 1
Bulstrode; 4
Bungy; 1
Burbuja-Cabeza; 1
Burbujas; 1
Bus; 6
Buscar; 1
Buscó; 3
Bárbaro; 1
Básicamente; 1
Básico; 1
Bébetelo; 1
C; 1
CABEZA; 1
CADA; 1
CAFETERIA; 1
CALDERA; 1
CALDEROS; 1
CALLES; 1
CAMA; 2
CANCIÓN; 1
CANUTO; 1
CAPÍTULO; 37
CASA; 6
CASTIGUE; 1
CATRASTOFES; 1
CAUSADAS; 1
CERDO; 1
CERRADA; 2
