; 3426
1; 1
1(este; 1
10; 6
12; 3
13; 2
14; 1
15; 1
16; 1
1689; 1
17; 3
180; 1
19; 1
1945; 1
1960; 2
1981; 3
20; 1
22; 1
23; 1
24; 1
25; 1
26; 1
27; 2
29; 1
3/4; 1
30; 2
300; 1
31; 6
32; 1
33; 1
35; 1
36; 1
4; 3
463; 1
7; 1
9; 2
A; 77
A-amarra; 1
ALBUS; 2
ALLÁ; 1
ANCIANA; 1
APESTA; 1
APOYE; 1
APUÑÁLALO; 1
AQUÍ; 2
AYUDA; 1
Ab; 1
Abajo; 2
Abandonando; 1
Abbott; 5
Aberforth; 71
Aberforth.-No; 1
Aberfoth; 1
Abril; 1
Abriéndola; 1
Abrió; 7
Absidente; 1
Acababa; 4
Acababan; 2
Acabar; 1
Acabo; 2
Acaso; 3
Accidente; 1
Accidentes; 1
Accio; 6
Acebo; 1
Aceleraron; 1
Acerca; 1
Aclaró; 1
Acostado; 1
Acostumbrado; 1
Actual; 1
Adalbert; 1
Además; 4
Adios; 1
Adiós; 5
Administración; 1
Admito; 1
Adoraba; 1
Aeschylus; 1
Afecto; 1
Aferrándose; 1
Afirmas; 1
Afortunadamente; 1
Afuera; 3
Agachado; 1
Agachándose; 1
Agarré; 1
Agarró; 1
Aggy; 1
Agradable; 1
Agregó; 2
Agua; 1
Agujereadores; 1
Agárrate; 1
Agárrenlo; 1
Ah; 30
Ah-dijo; 1
Aha; 1
Ahm; 1
Ahora; 62
Ahí; 12
Ahórrese; 1
Ajustarlo; 1
Al; 60
Alarmadamente; 1
Alastor; 1
Albania; 6
Alberforth; 1
Albert; 5
Alborotado; 1
Albus; 102
Albus...el; 1
Alcanzando; 1
Alcanzó; 1
Alderton; 1
Alecto; 9
Alecto,-Ella; 1
Alejense; 1
Alejó; 1
Alerta; 1
Aleteó; 1
Alfred; 1
Algo; 13
Alguien; 18
Algunas; 4
Alguno; 1
Algunos; 15
Alicia; 1
Allá; 1
Allí; 5
Alohomora; 1
Alquimia; 1
Alrededor; 3
Alto; 2
Alzo; 1
Alzó; 1
Aléjate; 1
Ambas; 1
Ambos; 8
Amicus; 1
Aminoró; 1
Amo; 34
Amor; 1
Amortiguador; 1
Amycus; 13
Anciano; 9
Andaba; 1
Andromeda; 1
Angelina; 1
Anhelaba; 1
Animados; 1
Animales; 2
Ansiosos; 1
Ante; 2
Anteriormente; 1
Antes; 9
Anthony; 1
Antigua; 5
Antiguas; 1
Anual; 1
Anímate; 1
Apagador; 18
Apagadores; 1
Aparece; 1
Aparecer; 5
Aparecerse; 2
Aparecerseles; 1
Aparecido; 1
Apareciendo; 2
Aparecieron; 3
Apareció; 2
Aparentemente; 5
Apariciones; 1
Aparición; 6
Aparte; 1
Apartó; 2
Apenas; 19
Aplicación; 1
Apolline; 1
Apostaría; 1
Apoyo; 1
Apoyó; 1
Aprendió; 1
Aprendí; 1
Apresurándose; 1
Apuesto; 1
Apuntando; 3
Apunto; 1
Apuntó; 4
Apuñálalos; 1
Apártate; 1
Apártense; 1
Aquella; 1
Aquellos; 6
Aquéllos; 1
Aquí; 17
Aragog; 2
Aragor; 1
Arcturus; 2
Arcus; 1
Ariana; 51
Arrancó; 1
Arranquen; 1
Arriba; 2
Arrojó; 2
Arrugada; 2
Arry; 2
Arréglala; 1
Artes; 18
Arthur; 20
Ascenso; 1
Asegúrate; 2
Asesina; 3
Asesinas; 2
Asi; 4
Asintió; 1
Asombrosos; 1
Asquerosa; 1
Astronomía; 1
Asumiendo; 1
Asustado; 2
Así; 50
Atenlos; 1
Aterrice; 1
Aterrizó; 1
Atmosférico; 1
Atraves; 1
Atravesaron; 1
Atravesó; 1
Atravez; 1
Atrio; 2
Aturdida; 1
Aturdida,-Dijo; 1
Aturdido; 4
Aturdidor; 2
Aturdidores; 3
Aturdir; 2
Aturdió; 1
Aturdí; 1
Au; 1
Aun; 29
Aunque; 27
Auror; 1
Aurores; 6
Australia; 2
Avada; 2
Avadava; 1
Avanzaron; 1
Avanzó; 1
