; 4
1; 19
1-era; 1
10; 1
11; 1
12; 1
13; 1
14; 3
15; 1
16; 1
17; 1
1811; 1
2; 6
21; 1
27; 5
3; 4
4; 2
40; 1
5; 1
6; 1
6.30; 1
7; 1
8; 1
9; 1
A; 57
Abajo; 2
Abandonados; 5
Abandonando; 1
Abrid; 1
Abridlo; 1
Acabó; 1
Acuérdate; 1
Además; 6
Adivinó; 1
Adiós; 3
Agitó; 1
Ah; 5
Ahora; 25
Ahí; 3
Al; 33
Alf; 2
Algo; 2
Algunos; 5
Algún; 1
Allá; 1
Allí; 3
Alrededor; 1
Alusión; 2
Alzó; 1
Aléjate; 1
Amargado; 1
Angela; 2
Ante; 3
Antes; 1
Aparece; 1
Aparecieron; 1
Aparta; 1
Apartaos; 1
Apenas; 2
Aquel; 2
Aquello; 1
Aquí; 6
Arriba; 3
Asustada; 1
Así; 17
Atadas; 1
Atadla; 1
Atados; 1
Aterrorizados; 1
Atraparemos; 1
Atribuyéndoles; 1
Atrás; 1
Aun; 2
Aunque; 5
Avispado; 38
Ay; 7
Azores; 1
Añadió; 1
Aún; 1
Bajaba; 1
Bajémosla; 1
Bajó; 1
Barbacoa; 8
Barbanegra; 2
Barranco; 2
Barrie; 1
Basta; 2
Bastante; 1
Bell; 1
Bill; 4
Blanco; 2
Botas; 1
Bretaña; 1
Bruselas; 1
Bueno; 13
Cada; 5
Calla; 1
Campanilla; 85
Cantaron; 1
Capitán; 4
Caramba; 2
Caribe; 2
Carlos; 1
Casi; 5
Cayó; 3
Cecco; 12
Cenicienta; 4
Charles; 1
Chas; 2
Chica; 1
Choca; 1
Ciertamente; 1
Cierto; 2
Cinco; 1
Claraboyas; 4
Claro; 14
Clávala; 1
Cocinero; 3
Cogedlo; 1
Cogiendo; 1
Colocándose; 1
Como; 15
Con; 14
Conservaba; 1
Consistía; 1
Construyamos; 1
Contestar; 1
Cookson; 3
Correteaban; 1
Corrieron; 1
Costa; 1
Crecí; 1
Cree; 1
Creo; 13
Cretino; 4
Creía; 1
Cuando; 22
Cuanto; 1
Cuatro; 2
Cuidado; 1
Curioso; 1
Cómo; 3
Daba; 3
Daban; 1
Darling; 117
De; 26
Debe; 2
Deben; 1
Debería; 2
Deberíamos; 1
Deberían; 1
Debo; 1
Debéis; 1
Decidió; 1
Decía; 1
Deja; 1
Dejadme; 1
Dejaremos; 1
Dejó; 3
Demostró; 1
Dentro; 1
Deprisa; 4
Describir; 4
Desde; 4
Desembuche; 1
Desenvainó; 1
Despertad; 1
Despiértala; 1
Después; 6
Destino; 1
Destripad; 1
Di; 1
Dianas; 1
Dice; 4
Dicen; 2
Diecisiete; 1
Dile; 1
Dio; 1
Dios; 8
Disidente; 1
Dispersaos; 1
Divino; 1
Donde; 1
