; 44
0; 4
00; 1
1; 29
1-95; 1
1.000; 1
10; 9
10.00; 2
10.05; 1
10.10; 2
10.30; 3
10/75; 1
11; 5
11.000; 1
11.500; 1
11.723; 1
11/74; 1
110; 2
117; 1
1120; 1
12; 9
12/11/70; 1
13; 4
14; 3
14.00; 1
14.10; 1
14.30; 1
1421; 1
149,95; 1
15; 8
15.00; 1
16; 8
16/12/71; 1
17; 10
17/11/71; 1
17/12/75; 1
1750; 1
18; 3
1800; 1
19; 8
19.00; 1
1902; 1
1917; 1
1917-1918; 1
1920; 1
1932; 2
1933; 2
1939; 3
1942; 1
1944; 1
1945; 2
1949; 2
1951; 2
1953; 2
1955; 2
1957; 2
1958; 1
1960; 1
1963; 1
1964; 2
1965; 3
1966; 1
1967; 1
1968; 1
1969; 4
1970; 11
1971; 8
1972; 9
1973; 7
1973; 1
1974; 2
1975; 11
19751976; 1
1976; 5
1977; 9
1978; 11
1979; 7
1980; 3
1984; 1
1985; 2
1988; 1
1992; 2
2; 33
2.999.999; 1
20; 6
2041149; 1
2062; 1
21; 3
21.30; 1
22; 5
23; 6
24; 4
243; 1
25; 1
26; 4
27; 4
28; 2
29; 4
3; 24
3,2; 1
3.000; 1
30; 2
302; 1
31; 1
32; 2
35; 2
357; 1
36.000; 1
37; 2
4; 19
4,50; 1
4-H; 1
41; 1
471; 1
48; 1
5; 14
53; 1
6; 15
6.500; 1
619; 3
624; 1
63; 1
66; 1
7; 10
7.45; 1
700; 1
75; 1
76; 2
78; 1
8; 8
8.000; 2
8.50; 1
8.500; 1
8.582; 1
80; 1
8146219; 1
827; 1
86.000; 1
87; 1
9; 9
9-VII-1972; 1
9.15; 1
9.18; 1
9.25; 2
9.30; 1
9.45; 1
9.55; 1
9500404613; 1
99,98; 1
A; 126
ABEDULES; 1
ACE; 1
ACRIBILLA; 1
ACUERDA; 2
ADUCE; 1
AFIRMA; 1
AGENTE; 1
AGRADECIDA; 1
AGRÍCOLA; 1
AL; 3
ALCALDE; 2
ALGUIEN; 3
ALIMENTOS; 1
ALISTA; 1
AMIGO; 2
AMIGOS; 1
AMÍGDALAS; 1
ANTES; 2
APRENDER; 1
ARGENTINA; 2
ASESINA; 1
ASESINADO; 2
ASESINATOS; 1
ASESINO; 1
ASESOR; 2
ASISTENTE; 3
ATÓNITOS; 1
AUTOR; 1
AUTOTITULADO; 1
AVALANCHA; 1
Abajo; 4
Ablanap; 1
Aborrecía; 1
Aborrezco; 1
Abraham; 1
Abrió; 13
Absolutamente; 4
Abzug; 1
Acababa; 1
Acababan; 1
Acabas; 1
Acabo; 1
Academia; 1
Academy; 1
Académica; 3
Acción; 2
Acepte; 2
Aceptó; 2
Acercó; 2
Acerté; 1
Aclararemos; 1
Acme; 1
Acres; 1
Actuaciones; 1
Acércate; 2
Adam; 1
Además; 12
Adiós; 5
Administración; 2
Adolfo; 1
Adoptó; 1
Aerolíneas; 1
Aerosmith; 1
Afectuosamente; 1
Afirma; 2
Afirmaba; 2
Afligido; 1
Afuera; 2
Against; 2
Agallas; 1
Agnew; 4
Agradezco; 1
Agregué; 1
Agregó; 1
Ah; 2
Ahogando; 1
Ahora; 94
Aires; 2
Airlines; 1
Airplane; 1
Ajá; 2
Al; 51
Alabama; 1
Albany; 2
Albeas; 1
Albert; 2
Alboroto; 1
Aldomet; 1
Alegaba; 1
Alemania; 2
Alex; 1
Algo; 14
Alguien; 8
Algunas; 5
Algunos; 8
Algún; 2
All; 1
Allagash; 1
Allen; 1
Allison; 10
Allá; 2
Allí; 15
Alma; 14
Almuerzas; 1
Alrededor; 5
Alsina; 2
Altamont; 1
Altec-Lansing; 1
Alvarez; 2
Alzó; 2
Amaneció; 1
Ambas; 1
Ambiente; 1
Ambos; 1
Amenazaba; 1
America; 3
American; 9
Americana; 1
Americana»; 1
America»; 1
Ames; 1
Amigos; 1
Amin; 1
Aminas; 2
Amity; 1
Ammas; 1
Amo; 2
Amtrack; 1
Amtrak; 1
América; 4
Amós; 1
An; 1
Ancianos; 1
Andrew; 1
Andy; 3
Angeles; 1
Angels; 2
Ann; 1
Anne; 12
Annie; 2
Anochecía; 1
Antaño; 1
Antes; 13
Anticristo; 3
Anuario; 1
Anímese; 1
Aparatos; 1
Apareció; 1
Aparentemente; 11
Apartó; 1
Apenas; 3
Apesta; 1
Aplastó; 1
Apocalipsis; 2
Apoyó; 3
Aprende; 1
Aprendes; 1
Apresó; 1
Apretaba; 2
Apretó; 1
Aproximadamente; 6
Apueste; 2
Apuesto; 5
Aquel; 2
Aquellos; 1
Aquél; 1
Aquélla; 1
Aquí; 14
Arco; 1
Arderá; 1
Argentina; 2
Arizona; 4
Armagedón; 2
Arnie; 1
Arrestaría; 1
Arriba; 4
Arroja; 1
Arrojó; 2
Arthur; 2
Arturo; 2
Asesinarle; 1
Asesino; 2
Asimila; 1
Asistencia; 2
Asociación; 2
Associated; 1
Asuntos; 1
Asustado; 1
Así; 32
Atendía; 1
Atlanta; 1
Atlantec; 1
Atlas; 1
Atlántico; 1
Atlántida; 1
Atrajo; 2
Atravesaron; 2
Atípicamente; 1
Augusta; 3
Aunque; 6
Auto; 1
Autoridad; 1
Avanzaba; 1
Avanzaron; 2
Avanzó; 4
Avenue; 1
Avis; 1
Aviv; 1
Axial; 1
Ayer; 1
Ayudó; 1
Ayuntamiento; 21
Ayúdenos; 1
AÑO; 1
Aérea; 1
Aéreas; 1
Año; 4
Aún; 17
B; 1
BALAS; 1
BANDA; 1
BORENTZ; 5
BOWDENS; 2
BSA; 1
Back; 2
Baez; 3
Bailaba; 1
Baja; 1
Bajó; 7
Bake; 1
Baker; 1
Balbuceaba; 1
Band; 1
Banda; 2
Bang; 2
Bangor; 20
Bank; 1
Bannerman; 143
Bannerman; 20
Bannerman,pero; 1
Baribault; 1
Barre; 1
Barrio; 1
Bass; 20
Bass; 1
Basta; 3
Bastaba; 1
Bastan; 1
Bastante; 1
Bastaría; 2
Bazofias; 1
Be; 1
Beach; 3
Beams; 1
Bean; 1
Bear; 1
Beatles; 2
Beatty; 1
Bella; 1
Belleau; 4
Belén; 1
Bend; 1
Bendito; 1
Benedix; 5
