; 517
0; 35
0por; 1
1; 4
1'édition; 1
1179; 1
1215; 1
1265; 2
1275; 1
1285; 1
1290; 1
1296; 1
1303; 1
1305; 3
1307; 1
1311; 1
1312; 1
1314; 1
1316; 1
1317; 1
1318; 1
1322; 3
1323; 1
1324; 1
1327; 3
1334; 1
16; 1
1842; 1
1925; 1
1934; 1
1968; 1
1970; 1
1977; 1
1980; 1
1a; 3
1o; 2
1os; 1
2; 1
2.30; 1
22; 1
3; 2
399; 1
4.30; 1
4.40; 1
5; 2
6; 2
61; 3
7; 1
7.30; 2
9; 1
A; 97
A-hora; 1
A1; 17
ACAIA; 3
ADAE; 1
ADAEU; 1
AEGYPTUS; 3
AFRICA; 1
AI; 2
ANGLIA; 2
ASí; 4
Aarón; 4
Abad; 299
Abandonamos; 1
Abbas; 2
Abbaye; 1
Abbone; 33
Abbonis; 1
Abbé; 1
Abdul; 1
Abel; 5
Abelardo; 4
Abigor; 1
Abimelec; 1
Ablandado; 1
Abonne; 1
Abraham; 4
Abramos; 1
Abrirlas; 1
Abrió; 1
Abrí; 3
Absalón; 2
Absurdo; 1
Abu; 2
Acabada; 1
Acabo; 1
Acaiae; 1
Acepto; 1
Acercó; 1
Acerqué; 1
Aclarada; 1
Aclarado; 2
Acostumbrado; 1
Acudió; 1
Acércate; 2
Ad; 3
Adae; 2
Adalberto; 1
Adamnano; 1
Adelantando; 1
Adelardo; 1
Adelmo; 98
Adelrno; 3
Además; 53
Adiós; 3
Adjutorium; 1
Adjuva; 1
Administradas; 1
Admirable; 1
Admiré; 1
Admitamos; 1
Admittenda; 1
Adquirí; 1
Adramech; 1
Adriano; 1
Adso; 127
Adson; 2
Advertimos; 1
Advertí; 5
Adán; 14
Aenea; 1
Aesopi; 1
Aethici; 1
Afirmando; 1
Afirmar; 1
Afortunadamente; 1
Afortunadas; 1
Africa; 3
Africae; 39
Afrícae; 1
Agamenón; 1
Agar; 3
Age; 1
Agilulfo; 1
Agitó; 1
Agolpaban; 1
Agostino; 1
Agradecimos; 1
Agraphicus; 1
Aguda; 1
Agudo; 1
Agust¡n; 1
Agustín; 3
Ah; 3
Ahmad; 1
Ahora; 94
Ahí; 1
Aigues; 1
